Zadanie dla;Index:;"""180287""";Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21
Zadanie: drzewo BST;;;;;;;;;;;;;;;;;;;;;;;;
1) Dla drzewa BST wygladajacego jak https://stos.eti.pg.gda.pl/~manus/zad_egzam_aisd/gr1.png nalezy okreslic wartosci zmiennych a ... f jesli wiadomo ze w drzewie sa nast klucze. ;;;;;;;;;;;;;;;;;;;;;;;;
Dopasuj klucze;24;9;27;21;33;30;;;;;;;;;;;;;;;;;;
Wypisac: [2pkt];key(a)=;24;key(b)=;21;key(c)=;30;key(d)=;9;key(e)=;33;key(f)=;27;;;;;;;;;;;;
Polecenie: dokonac modyfikacje drzewa. (Zmiany aplikowac do wyniku poprzedniej operacji (tj. kaskadowo);;;;;;;;;;;;;;;;;;;;;;;;
Dodaj klucze;23;13;8;28;14;1;2;7;;;;;;;;;;;;;;;;
Wypisac: [5pkt];parent(23)=;21;parent(13)=;9;parent(8)=;9;parent(28)=;27;parent(14)=;13;parent(1)=;8;parent(2)=;1;parent(7)=;2;;;;;;;;
Wypisac: [3pkt];succ(24)=;27;pred(24)=;23;succ(9)=;13;pred(9)=;8;max(24)=;33;min(9)=;1;;;;;;;;;;;;
Wypisac: [2pkt];Preorder()=;24;21;9;8;1;2;7;13;14;23;30;27;28;33;;;;;;;;;
Usun klucz;9;;;;;;;;;;;;;;;;;;;;;;;
Wypisac: [4pkt];Preorder()=;24;21;13;8;1;2;7;14;23;30;27;28;33;;;;;;;;;;
Usun klucz;24;;;;;;;;;;;;;;;;;;;;;;;
Wypisac: [4pkt];Preorder()=;27;21;13;8;1;2;7;14;23;30;28;33;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Zadanie: kopce binarne;;;;;;;;;;;;;;;;;;;;;;;;
1) Korzen kopca zawiera min. Dla inicjalnej zawartosci tablicy T zbuduj;;;;;;;;;;;;;;;;;;;;;;;;
MinKopiec w T;17;15;14;6;9;4;11;19;20;13;;;;;;;;;;;;;;
Wypisz T: [7pkt];T[0]=;4;T[1]=;6;T[2]=;11;T[3]=;15;T[4]=;9;T[5]=;14;T[6]=;17;T[7]=;19;T[8]=;20;T[9]=;13;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
1a) Potraktowac otrzymany kopiec jak kolejke priorytetowa;;;;;;;;;;;;;;;;;;;;;;;;
Dodaj do T;1;2;;;;;;;;;;;;;;;;;;;;;;
Wypisz: [3pkt];T[0]=;1;T[1]=;4;T[2]=;2;T[3]=;15;T[4]=;6;T[5]=;11;T[6]=;17;T[7]=;19;T[8]=;20;T[9]=;13;T[10]=;9;T[11]=;14
;;;;;;;;;;;;;;;;;;;;;;;;
2) Korzen kopca zawiera max. Dla inicjalnej zawartosci tablicy T;;;;;;;;;;;;;;;;;;;;;;;;
MaxKopiec w T;7;17;13;8;18;11;1;9;6;10;12;14;;;;;;;;;;;;
Wypisz: [8pkt];T[0]=;18;T[1]=;17;T[2]=;14;T[3]=;9;T[4]=;12;T[5]=;13;T[6]=;1;T[7]=;8;T[8]=;6;T[9]=;10;T[10]=;7;T[11]=;11
;;;;;;;;;;;;;;;;;;;;;;;;
2a) otrzymany kopiec potraktuj jak kolejke priorytetowa i wykonaj operacje;;;;;;;;;;;;;;;;;;;;;;;;
Get (tj. Extract);;;;;;;;;;;;;;;;;;;;;;;;
Wypisz: [2pkt];T[0]=;17;T[1]=;12;T[2]=;14;T[3]=;9;T[4]=;11;T[5]=;13;T[6]=;1;T[7]=;8;T[8]=;6;T[9]=;10;T[10]=;7;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Zadanie: partition;;;;;;;;;;;;;;;;;;;;;;;;
1) Dla inicjalnej zawartosci tablicy T wykonaj partition, podaj wynik i zawartosc tablicy po wykonaniu;;;;;;;;;;;;;;;;;;;;;;;;
Partition T;4;10;13;5;20;17;3;19;14;16;;;;;;;;;;;;;;
Wypisz zwrot: [2pkt];Part()=;9;;;;;;;;;;;;;;;;;;;;;;
Wypisz T: [8pkt];T[0]=;4;T[1]=;10;T[2]=;13;T[3]=;5;T[4]=;16;T[5]=;17;T[6]=;3;T[7]=;19;T[8]=;14;T[9]=;20;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
2) Dla inicjalnej zawartosci tablicy T wykonaj partition, podaj wynik i zawartosc tablicy po wykonaniu;;;;;;;;;;;;;;;;;;;;;;;;
Partition T;14;2;13;3;6;8;19;17;18;10;12;7;;;;;;;;;;;;
Wypisz zwrot: [2pkt];Part()=;4;;;;;;;;;;;;;;;;;;;;;;
Wypisz T: [8pkt];T[0]=;7;T[1]=;2;T[2]=;6;T[3]=;3;T[4]=;8;T[5]=;14;T[6]=;19;T[7]=;17;T[8]=;18;T[9]=;10;T[10]=;12;T[11]=;13
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Zadanie: kod hufmana;;;;;;;;;;;;;;;;;;;;;;;;
1) Ponizej podano w kolejnych komorkach znak i liczbe wystapien;;;;;;;;;;;;;;;;;;;;;;;;
Dane tekstu;R;2;E;2;W;2;V;3;P;7;M;10;;;;;;;;;;;;
Zbudowac kod hufmana jesli wiadomo ze ;;;;;;;;;;;;;;;;;;;;;;;;
znak:;R;ma kod:;"""0000""";znak:;V;ma kod:;"""0011""";;;;;;;;;;;;;;;;;
Podaj (jako tekst) kod lub kody odpowiadajace kolejnym znakom. Kazdy kod umiesc w cudzyslowiu. Jeden kod na jedna komorke;;;;;;;;;;;;;;;;;;;;;;;;
Wypisz [3pkt];KodZnaku(E)=;"""0001""";;;;;;;;;;;;;;;;;;;;;;
Wypisz [3pkt];KodZnaku(W)=;"""0010""";;;;;;;;;;;;;;;;;;;;;;
Wypisz [3pkt];KodZnaku(P)=;"""01""";;;;;;;;;;;;;;;;;;;;;;
Wypisz [3pkt];KodZnaku(M)=;"""1""";;;;;;;;;;;;;;;;;;;;;;
Wypisz (jesli nie mozliwe wpisz BLAD) [2pkt];"Zdekoduj(""000010011"")=";"""RMV""";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
2) Oblicz ile jest mozliwych roznych kodow w tym zadaniu, a potem oblicz ile byloby mozliwych kodow bez wiedzy nt. reprezentacji konkretnych znakow;;;;;;;;;;;;;;;;;;;;;;;;
Wypisz [4pkt];IleKodow()=;2;;;;;;;;;;;;;;;;;;;;;;
Wypisz [4pkt];IleKodowBezWskaz()=;32;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
